virus;Zn;Mg;Mn;Fe
Abelson murine leukemia virus;0;0;0;0
Adeno-associated virus 2 (isolate Srivastava/1982) (AAV-2);0;0;0;0
African swine fever virus (ASFV);1;1;1;1
Aichi virus (AiV);0;0;0;0
Alfalfa mosaic virus (strain 425 / isolate Leiden);0;0;0;0
Alkhumra hemorrhagic fever virus (ALKV) (Alkhurma hemorrhagic fever virus);1;0;0;0
Ateline herpesvirus 3 (AtHV-3) (Herpesvirus ateles);1;1;0;1
Autographa californica nuclear polyhedrosis virus (AcMNPV);1;0;0;0
Avian infectious bronchitis virus (strain Beaudette) (IBV);1;0;0;0
Avian infectious bursal disease virus (isolate Chicken/UK/UK661/1989) (IBDV) (Gumboro disease virus);1;0;0;0
Avian leukosis virus RSA (RSV-SRA) (Rous sarcoma virus (strain Schmidt-Ruppin A));1;1;0;0
Avian sarcoma virus (strain PR2257);1;1;0;0
Bamboo mosaic virus satellite RNA;0;0;0;0
Beet yellows virus (isolate Ukraine) (BYV) (Sugar beet yellows virus);0;0;0;0
Bhendi yellow vein betasatellite;0;0;0;0
Bhendi yellow vein mosaic virus-[Madurai];1;0;0;0
BK polyomavirus (BKPyV) (Human polyomavirus 1);0;0;0;0
Bluetongue virus;0;0;0;0
Bluetongue virus 10 (isolate USA) (BTV 10);0;0;0;0
Bombyx mori nuclear polyhedrosis virus (BmNPV);1;0;0;0
Borna disease virus (strain V) (BDV);0;0;0;0
Borna disease virus 1 (BoDV-1);0;0;0;0
Bovine herpesvirus 1.1 (strain Jura) (BoHV-1) (Infectious bovine rhinotracheitis virus);1;1;0;0
Bovine herpesvirus 1.1 (strain P8-2) (BoHV-1) (Infectious bovine rhinotracheitis virus);1;1;0;0
Bovine immunodeficiency virus (strain R29) (BIV) (Bovine immunodeficiency-like virus);1;1;0;0
Bovine leukemia virus (BLV);1;1;0;0
Bovine orthopneumovirus;1;0;0;0
Bovine papillomavirus type 1;1;0;0;0
Bovine papillomavirus type 2;1;0;0;0
Bovine respiratory syncytial virus (strain Rb94) (BRS);1;0;0;0
Bovine viral diarrhea virus (isolate NADL) (BVDV) (Mucosal disease virus);0;0;0;0
Brome mosaic virus (BMV);0;0;0;0
Bunyamwera virus (BUNV);0;0;0;0
Bunyavirus La Crosse (isolate Human/United States/L78/1978);0;0;0;0
Cauliflower mosaic virus (strain Strasbourg) (CaMV);1;0;0;0
Cercopithecine herpesvirus 1 (CeHV-1) ;1;1;;1
Chandipura virus (strain I653514) (CHPV);0;0;0;0
Chicken anemia virus (isolate Germany Cuxhaven-1) (CAV);0;0;0;0
Chikungunya virus (CHIKV);0;0;0;0
Chimpanzee hepatitis B virus (isolate United Kingdom/LSH/1988) (HBVcpz);0;1;0;0
Citrus tristeza virus;0;0;0;0
Classical swine fever virus;0;0;0;0
Clostridium botulinum C phage (Clostridium botulinum C bacteriophage);0;0;0;0
Coconut foliar decay alphasatellite;0;0;0;0
Cottontail rabbit papillomavirus (strain Kansas) (CRPV) (Papillomavirus sylvilagi);1;0;0;0
Cowpox virus (CPV);1;0;0;1
Coxsackievirus B3 (strain Woodruff);0;1;0;0
Crimean-Congo hemorrhagic fever virus (strain Nigeria/IbAr10200/1970) (CCHFV);0;0;0;0
Cucumber mosaic virus (strain FNY) (CMV);0;0;0;0
Dengue virus 1;1;0;0;0
Dengue virus 2;1;0;0;0
Dengue virus type 2 (strain 16681-PDK53) (DENV-2);1;0;0;0
Dengue virus type 2 (strain Puerto Rico/PR159-S1/1969) (DENV-2);1;0;0;0
Dengue virus type 4 (strain Dominica/814669/1981) (DENV-4);1;0;0;0
Dobrava-Belgrade orthohantavirus;0;0;0;0
Echovirus E11;0;0;0;0
Echovirus E7;0;0;0;0
Ectromelia virus ERPV;0;0;0;0
Epstein-Barr virus (strain AG876) (HHV-4) (Human herpesvirus 4);1;1;0;1
Epstein-Barr virus (strain B95-8) (HHV-4) (Human herpesvirus 4);1;1;0;1
Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4);1;1;0;1
Equine arteritis virus (strain Bucyrus) (EAV);1;0;0;0
Equine herpesvirus 1 (strain Ab4p) (EHV-1) (Equine abortion virus);1;1;0;1
Equine herpesvirus 1 (strain Kentucky A) (EHV-1) (Equine abortion virus);1;0;0;0
Equine herpesvirus 2 (strain 86/87) (EHV-2);1;1;0;1
Equine infectious anemia virus (isolate 1369) (EIAV);1;0;0;0
Equine infectious anemia virus (isolate CL22) (EIAV);1;0;0;0
Escherichia phage lambda (Bacteriophage lambda);1;1;0;1
Fowl adenovirus A serotype 1 (strain CELO / Phelps) (FAdV-1) (Avian adenovirus gal1 (strain Phelps));1;1;0;0
Fowlpox virus (strain NVSL) (FPV);1;1;0;1
Guanarito mammarenavirus (isolate Human/Venezuela/NH-95551/1990) (GTOV);1;0;0;0
Hamster polyomavirus (HaPyV) (Mesocricetus auratus polyomavirus 1);1;0;0;0
Hantaan virus (strain 76-118) (Korean hemorrhagic fever virus);0;0;0;0
Hendra virus (isolate Horse/Autralia/Hendra/1994);1;0;0;0
Hepatitis B virus genotype B1 (isolate Japan/Yamagata-2/1998) (HBV-B);0;1;0;0
Hepatitis B virus genotype A2 subtype adw2 (strain Rutter 1979) (HBV-A);0;1;0;0
Hepatitis B virus genotype C subtype ayr (isolate Human/Japan/Okamoto/-) (HBV-C);0;1;0;0
Hepatitis B virus genotype D subtype ayw (isolate Australia/AustKW/1991) (HBV-D);0;1;0;0
Hepatitis B virus genotype F2 (isolate Brazil/w4B) (HBV-F);0;1;0;0
Hepatitis C virus (isolate Glasgow) (HCV);1;0;0;0
Hepatitis C virus genotype 1a (isolate 1) (HCV);1;0;0;0
Hepatitis C virus genotype 1a (isolate H) (HCV);1;0;0;0
Hepatitis C virus genotype 1b (isolate BK) (HCV);1;0;0;0
Hepatitis C virus genotype 1b (isolate Con1) (HCV);1;0;0;0
Hepatitis C virus genotype 1b (isolate HC-J1) (HCV);1;0;0;0
Hepatitis C virus genotype 1b (isolate HCR6) (HCV);1;0;0;0
Hepatitis C virus genotype 1b (isolate Japanese) (HCV);1;0;0;0
Hepatitis C virus genotype 1b (isolate Taiwan) (HCV);1;0;0;0
Hepatitis C virus genotype 1b (strain HC-J4) (HCV);1;0;0;0
Hepatitis C virus genotype 2a (isolate HC-J6) (HCV);1;0;0;0
Hepatitis C virus genotype 2a (isolate JFH-1) (HCV);1;0;0;0
